"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"U2","175.1000mm","10.5875mm","BottomLayer","180"
"U54","146.0000mm","7.0000mm","BottomLayer","0"
"U53","127.0000mm","7.0000mm","BottomLayer","0"
"U52","127.0000mm","36.0000mm","BottomLayer","180"
"U51","146.0000mm","36.0000mm","BottomLayer","180"
"U50","68.0000mm","7.0000mm","BottomLayer","0"
"U49","49.0000mm","7.0000mm","BottomLayer","0"
"U48","49.0000mm","36.0000mm","BottomLayer","180"
"U47","68.0000mm","36.0000mm","BottomLayer","180"
"U46","146.0000mm","50.0000mm","BottomLayer","0"
"U45","127.0000mm","50.0000mm","BottomLayer","0"
"U44","127.0000mm","79.0000mm","BottomLayer","180"
"U43","146.0000mm","79.0000mm","BottomLayer","180"
"U42","107.0000mm","50.0000mm","BottomLayer","0"
"U41","88.0000mm","50.0000mm","BottomLayer","0"
"U40","88.0000mm","79.0000mm","BottomLayer","180"
"U39","107.0000mm","79.0000mm","BottomLayer","180"
"U38","29.0000mm","50.0000mm","BottomLayer","0"
"U37","10.0000mm","50.0000mm","BottomLayer","0"
"U36","10.0000mm","79.0000mm","BottomLayer","180"
"U35","29.0000mm","79.0000mm","BottomLayer","180"
"U34","107.0000mm","93.0000mm","BottomLayer","0"
"U33","88.0000mm","93.0000mm","BottomLayer","0"
"U32","88.0000mm","122.0000mm","BottomLayer","180"
"U31","107.0000mm","122.0000mm","BottomLayer","180"
"U30","107.0000mm","7.0000mm","BottomLayer","0"
"U29","88.0000mm","7.0000mm","BottomLayer","0"
"U28","88.0000mm","36.0000mm","BottomLayer","180"
"U27","107.0000mm","36.0000mm","BottomLayer","180"
"U26","29.0000mm","7.0000mm","BottomLayer","0"
"U25","10.0000mm","7.0000mm","BottomLayer","0"
"U24","10.0000mm","36.0000mm","BottomLayer","180"
"U23","29.0000mm","36.0000mm","BottomLayer","180"
"U22","68.0000mm","50.0000mm","BottomLayer","0"
"U21","49.0000mm","50.0000mm","BottomLayer","0"
"U20","49.0000mm","79.0000mm","BottomLayer","180"
"U19","68.0000mm","79.0000mm","BottomLayer","180"
"U18","146.0000mm","93.0000mm","BottomLayer","0"
"U17","127.0000mm","93.0000mm","BottomLayer","0"
"U16","127.0000mm","122.0000mm","BottomLayer","180"
"U15","146.0000mm","122.0000mm","BottomLayer","180"
"U14","68.0000mm","93.0000mm","BottomLayer","0"
"U13","49.0000mm","93.0000mm","BottomLayer","0"
"U12","49.0000mm","122.0000mm","BottomLayer","180"
"U11","68.0000mm","122.0000mm","BottomLayer","180"
"U10","192.6000mm","37.4000mm","BottomLayer","90"
"U9","182.3000mm","37.4000mm","BottomLayer","90"
"U8","172.0000mm","37.4000mm","BottomLayer","90"
"U7","161.7000mm","37.4000mm","BottomLayer","90"
"R416","132.3750mm","14.2500mm","BottomLayer","0"
"R415","127.3750mm","14.2500mm","BottomLayer","0"
"R414","122.3750mm","14.2500mm","BottomLayer","0"
"R413","152.3750mm","18.2500mm","BottomLayer","0"
"R412","147.3750mm","18.2500mm","BottomLayer","0"
"R411","142.3750mm","18.2500mm","BottomLayer","0"
"R410","137.3750mm","18.2500mm","BottomLayer","0"
"R409","132.3750mm","18.2500mm","BottomLayer","0"
"R408","127.3750mm","18.2500mm","BottomLayer","0"
"R407","122.3750mm","18.2500mm","BottomLayer","0"
"R406","152.3750mm","22.2500mm","BottomLayer","0"
"R405","147.3750mm","22.2500mm","BottomLayer","0"
"R404","142.3750mm","22.2500mm","BottomLayer","0"
"R403","137.3750mm","22.2500mm","BottomLayer","0"
"R402","132.3750mm","22.2500mm","BottomLayer","0"
"R401","127.3750mm","22.2500mm","BottomLayer","0"
"R400","122.3750mm","22.2500mm","BottomLayer","0"
"R399","152.3750mm","26.2500mm","BottomLayer","0"
"R398","147.3750mm","26.2500mm","BottomLayer","0"
"R397","142.3750mm","26.2500mm","BottomLayer","0"
"R396","137.3750mm","26.2500mm","BottomLayer","0"
"R395","132.3750mm","26.2500mm","BottomLayer","0"
"R394","127.3750mm","26.2500mm","BottomLayer","0"
"R393","122.3750mm","26.2500mm","BottomLayer","0"
"R392","152.3750mm","30.2500mm","BottomLayer","0"
"R391","147.3750mm","30.2500mm","BottomLayer","0"
"R390","142.3750mm","30.2500mm","BottomLayer","0"
"R389","137.3750mm","30.2500mm","BottomLayer","0"
"R388","132.3750mm","30.2500mm","BottomLayer","0"
"R387","127.3750mm","30.2500mm","BottomLayer","0"
"R386","122.3750mm","30.2500mm","BottomLayer","0"
"R385","54.3750mm","14.2500mm","BottomLayer","0"
"R384","49.3750mm","14.2500mm","BottomLayer","0"
"R383","44.3750mm","14.2500mm","BottomLayer","0"
"R382","74.3750mm","18.2500mm","BottomLayer","0"
"R381","69.3750mm","18.2500mm","BottomLayer","0"
"R380","64.3750mm","18.2500mm","BottomLayer","0"
"R379","59.3750mm","18.2500mm","BottomLayer","0"
"R378","54.3750mm","18.2500mm","BottomLayer","0"
"R377","49.3750mm","18.2500mm","BottomLayer","0"
"R376","44.3750mm","18.2500mm","BottomLayer","0"
"R375","74.3750mm","22.2500mm","BottomLayer","0"
"R374","69.3750mm","22.2500mm","BottomLayer","0"
"R373","64.3750mm","22.2500mm","BottomLayer","0"
"R372","59.3750mm","22.2500mm","BottomLayer","0"
"R371","54.3750mm","22.2500mm","BottomLayer","0"
"R370","49.3750mm","22.2500mm","BottomLayer","0"
"R369","44.3750mm","22.2500mm","BottomLayer","0"
"R368","74.3750mm","26.2500mm","BottomLayer","0"
"R367","69.3750mm","26.2500mm","BottomLayer","0"
"R366","64.3750mm","26.2500mm","BottomLayer","0"
"R365","59.3750mm","26.2500mm","BottomLayer","0"
"R364","54.3750mm","26.2500mm","BottomLayer","0"
"R363","49.3750mm","26.2500mm","BottomLayer","0"
"R362","44.3750mm","26.2500mm","BottomLayer","0"
"R361","74.3750mm","30.2500mm","BottomLayer","0"
"R360","69.3750mm","30.2500mm","BottomLayer","0"
"R359","64.3750mm","30.2500mm","BottomLayer","0"
"R358","59.3750mm","30.2500mm","BottomLayer","0"
"R357","54.3750mm","30.2500mm","BottomLayer","0"
"R356","49.3750mm","30.2500mm","BottomLayer","0"
"R355","44.3750mm","30.2500mm","BottomLayer","0"
"R354","132.3750mm","57.2500mm","BottomLayer","0"
"R353","127.3750mm","57.2500mm","BottomLayer","0"
"R352","122.3750mm","57.2500mm","BottomLayer","0"
"R351","152.3750mm","61.2500mm","BottomLayer","0"
"R350","147.3750mm","61.2500mm","BottomLayer","0"
"R349","142.3750mm","61.2500mm","BottomLayer","0"
"R348","137.3750mm","61.2500mm","BottomLayer","0"
"R347","132.3750mm","61.2500mm","BottomLayer","0"
"R346","127.3750mm","61.2500mm","BottomLayer","0"
"R345","122.3750mm","61.2500mm","BottomLayer","0"
"R344","152.3750mm","65.2500mm","BottomLayer","0"
"R343","147.3750mm","65.2500mm","BottomLayer","0"
"R342","142.3750mm","65.2500mm","BottomLayer","0"
"R341","137.3750mm","65.2500mm","BottomLayer","0"
"R340","132.3750mm","65.2500mm","BottomLayer","0"
"R339","127.3750mm","65.2500mm","BottomLayer","0"
"R338","122.3750mm","65.2500mm","BottomLayer","0"
"R337","152.3750mm","69.2500mm","BottomLayer","0"
"R336","147.3750mm","69.2500mm","BottomLayer","0"
"R335","142.3750mm","69.2500mm","BottomLayer","0"
"R334","137.3750mm","69.2500mm","BottomLayer","0"
"R333","132.3750mm","69.2500mm","BottomLayer","0"
"R332","127.3750mm","69.2500mm","BottomLayer","0"
"R331","122.3750mm","69.2500mm","BottomLayer","0"
"R330","152.3750mm","73.2500mm","BottomLayer","0"
"R329","147.3750mm","73.2500mm","BottomLayer","0"
"R328","142.3750mm","73.2500mm","BottomLayer","0"
"R327","137.3750mm","73.2500mm","BottomLayer","0"
"R326","132.3750mm","73.2500mm","BottomLayer","0"
"R325","127.3750mm","73.2500mm","BottomLayer","0"
"R324","122.3750mm","73.2500mm","BottomLayer","0"
"R323","93.3750mm","57.2500mm","BottomLayer","0"
"R322","88.3750mm","57.2500mm","BottomLayer","0"
"R321","83.3750mm","57.2500mm","BottomLayer","0"
"R320","113.3750mm","61.2500mm","BottomLayer","0"
"R319","108.3750mm","61.2500mm","BottomLayer","0"
"R318","103.3750mm","61.2500mm","BottomLayer","0"
"R317","98.3750mm","61.2500mm","BottomLayer","0"
"R316","93.3750mm","61.2500mm","BottomLayer","0"
"R315","88.3750mm","61.2500mm","BottomLayer","0"
"R314","83.3750mm","61.2500mm","BottomLayer","0"
"R313","113.3750mm","65.2500mm","BottomLayer","0"
"R312","108.3750mm","65.2500mm","BottomLayer","0"
"R311","103.3750mm","65.2500mm","BottomLayer","0"
"R310","98.3750mm","65.2500mm","BottomLayer","0"
"R309","93.3750mm","65.2500mm","BottomLayer","0"
"R308","88.3750mm","65.2500mm","BottomLayer","0"
"R307","83.3750mm","65.2500mm","BottomLayer","0"
"R306","113.3750mm","69.2500mm","BottomLayer","0"
"R305","108.3750mm","69.2500mm","BottomLayer","0"
"R304","103.3750mm","69.2500mm","BottomLayer","0"
"R303","98.3750mm","69.2500mm","BottomLayer","0"
"R302","93.3750mm","69.2500mm","BottomLayer","0"
"R301","88.3750mm","69.2500mm","BottomLayer","0"
"R300","83.3750mm","69.2500mm","BottomLayer","0"
"R299","113.3750mm","73.2500mm","BottomLayer","0"
"R298","108.3750mm","73.2500mm","BottomLayer","0"
"R297","103.3750mm","73.2500mm","BottomLayer","0"
"R296","98.3750mm","73.2500mm","BottomLayer","0"
"R295","93.3750mm","73.2500mm","BottomLayer","0"
"R294","88.3750mm","73.2500mm","BottomLayer","0"
"R293","83.3750mm","73.2500mm","BottomLayer","0"
"R292","15.3750mm","57.2500mm","BottomLayer","0"
"R291","10.3750mm","57.2500mm","BottomLayer","0"
"R290","5.3750mm","57.2500mm","BottomLayer","0"
"R289","35.3750mm","61.2500mm","BottomLayer","0"
"R288","30.3750mm","61.2500mm","BottomLayer","0"
"R287","25.3750mm","61.2500mm","BottomLayer","0"
"R286","20.3750mm","61.2500mm","BottomLayer","0"
"R285","15.3750mm","61.2500mm","BottomLayer","0"
"R284","10.3750mm","61.2500mm","BottomLayer","0"
"R283","5.3750mm","61.2500mm","BottomLayer","0"
"R282","35.3750mm","65.2500mm","BottomLayer","0"
"R281","30.3750mm","65.2500mm","BottomLayer","0"
"R280","25.3750mm","65.2500mm","BottomLayer","0"
"R279","20.3750mm","65.2500mm","BottomLayer","0"
"R278","15.3750mm","65.2500mm","BottomLayer","0"
"R277","10.3750mm","65.2500mm","BottomLayer","0"
"R276","5.3750mm","65.2500mm","BottomLayer","0"
"R275","35.3750mm","69.2500mm","BottomLayer","0"
"R274","30.3750mm","69.2500mm","BottomLayer","0"
"R273","25.3750mm","69.2500mm","BottomLayer","0"
"R272","20.3750mm","69.2500mm","BottomLayer","0"
"R271","15.3750mm","69.2500mm","BottomLayer","0"
"R270","10.3750mm","69.2500mm","BottomLayer","0"
"R269","5.3750mm","69.2500mm","BottomLayer","0"
"R268","35.3750mm","73.2500mm","BottomLayer","0"
"R267","30.3750mm","73.2500mm","BottomLayer","0"
"R266","25.3750mm","73.2500mm","BottomLayer","0"
"R265","20.3750mm","73.2500mm","BottomLayer","0"
"R264","15.3750mm","73.2500mm","BottomLayer","0"
"R263","10.3750mm","73.2500mm","BottomLayer","0"
"R262","5.3750mm","73.2500mm","BottomLayer","0"
"R261","93.3750mm","100.2500mm","BottomLayer","0"
"R260","88.3750mm","100.2500mm","BottomLayer","0"
"R259","83.3750mm","100.2500mm","BottomLayer","0"
"R258","113.3750mm","104.2500mm","BottomLayer","0"
"R257","108.3750mm","104.2500mm","BottomLayer","0"
"R256","103.3750mm","104.2500mm","BottomLayer","0"
"R255","98.3750mm","104.2500mm","BottomLayer","0"
"R254","93.3750mm","104.2500mm","BottomLayer","0"
"R253","88.3750mm","104.2500mm","BottomLayer","0"
"R252","83.3750mm","104.2500mm","BottomLayer","0"
"R251","113.3750mm","108.2500mm","BottomLayer","0"
"R250","108.3750mm","108.2500mm","BottomLayer","0"
"R249","103.3750mm","108.2500mm","BottomLayer","0"
"R248","98.3750mm","108.2500mm","BottomLayer","0"
"R247","93.3750mm","108.2500mm","BottomLayer","0"
"R246","88.3750mm","108.2500mm","BottomLayer","0"
"R245","83.3750mm","108.2500mm","BottomLayer","0"
"R244","113.3750mm","112.2500mm","BottomLayer","0"
"R243","108.3750mm","112.2500mm","BottomLayer","0"
"R242","103.3750mm","112.2500mm","BottomLayer","0"
"R241","98.3750mm","112.2500mm","BottomLayer","0"
"R240","93.3750mm","112.2500mm","BottomLayer","0"
"R239","88.3750mm","112.2500mm","BottomLayer","0"
"R238","83.3750mm","112.2500mm","BottomLayer","0"
"R237","113.3750mm","116.2500mm","BottomLayer","0"
"R236","108.3750mm","116.2500mm","BottomLayer","0"
"R235","103.3750mm","116.2500mm","BottomLayer","0"
"R234","98.3750mm","116.2500mm","BottomLayer","0"
"R233","93.3750mm","116.2500mm","BottomLayer","0"
"R232","88.3750mm","116.2500mm","BottomLayer","0"
"R231","83.3750mm","116.2500mm","BottomLayer","0"
"R229","88.3750mm","14.2500mm","BottomLayer","0"
"R228","83.3750mm","14.2500mm","BottomLayer","0"
"R227","113.3750mm","18.2500mm","BottomLayer","0"
"R226","108.3750mm","18.2500mm","BottomLayer","0"
"R225","103.3750mm","18.2500mm","BottomLayer","0"
"R224","98.3750mm","18.2500mm","BottomLayer","0"
"R223","93.3750mm","18.2500mm","BottomLayer","0"
"R222","88.3750mm","18.2500mm","BottomLayer","0"
"R221","83.3750mm","18.2500mm","BottomLayer","0"
"R220","113.3750mm","22.2500mm","BottomLayer","0"
"R219","108.3750mm","22.2500mm","BottomLayer","0"
